"site","Coefficient","order","Model"
"cg16867657",5.02110385779342,1,"Age-Young"
"cg11071401",1.47318414129042,1,"Age-Young"
"cg04875128",2.64387520155072,1,"Age-Young"
"cg14692377",0.376774281068737,1,"Age-Young"
"cg07955995",0.693226208958533,1,"Age-Young"
"cg07553761",2.55323120546553,1,"Age-Young"
"cg03032497",0.789238629726684,1,"Age-Young"
"cg25090514",1.22498148399791,1,"Age-Young"
"cg07850154",-2.26256211133655,1,"Age-Young"
"cg09018739",0.219772596845119,1,"Age-Young"
"cg17621438",-1.74105677484826,1,"Age-Young"
"cg10501210",-0.907692691761583,1,"Age-Young"
"cg18468088",0.85056765945346,1,"Age-Young"
"cg07502389",0.25038917925964,1,"Age-Young"
"cg22736354",0.636880537976308,1,"Age-Young"
"cg08097417",2.04201817064491,1,"Age-Young"
"cg24724428",0.364748374765177,1,"Age-Young"
"cg17110586",0.0816556164486629,1,"Age-Young"
"cg06639320",1.64922284606909,1,"Age-Young"
"cg21572722",1.26354442056782,1,"Age-Young"
"cg26921969",0.138452154558539,1,"Age-Young"
"cg23606718",0.98463480434338,1,"Age-Young"
"cg06493994",0.243822221757618,1,"Age-Young"
"cg22454769",0.933769043672429,1,"Age-Young"
"cg27320127",-0.241196012261404,1,"Age-Young"
"cg07547549",0.714969376196714,1,"Age-Young"
"cg26290632",1.18201528207611,1,"Age-Young"
"cg16419235",1.36505192584576,1,"Age-Young"
"cg14674720",0.822680024511691,1,"Age-Young"
"cg01873886",0.445445580340648,1,"Age-Young"
"cg18064714",0.555093695937452,1,"Age-Young"
"cg00059225",0.44722866599982,1,"Age-Young"
"cg05991454",1.47412683500041,1,"Age-Young"
"cg01620164",-0.90566626533903,1,"Age-Young"
"cg21184711",2.2929568804075,1,"Age-Young"
"cg14911690",0.120462926880235,1,"Age-Young"
"cg03473532",-2.40098127787879,1,"Age-Young"
"cg14556683",0.249482711116275,1,"Age-Young"
"cg22358580",0.883129062962627,1,"Age-Young"
"cg23500537",1.78996440133332,1,"Age-Young"
"cg06648759",2.51937886292149,1,"Age-Young"
"cg15857661",0.231555487210858,1,"Age-Young"
"cg03545227",0.0219968610124193,1,"Age-Young"
"cg05404236",1.56095983253882,1,"Age-Young"
"cg01331772",0.627621709095299,1,"Age-Young"
"cg26189283",-0.975791947023233,1,"Age-Young"
"cg08046044",0.689586563369207,1,"Age-Young"
"cg04104329",0.108508174463325,1,"Age-Young"
"cg15338967",0.225556482410531,1,"Age-Young"
"cg04940570",0.445946250034234,1,"Age-Young"
"cg19557110",0.267854222409928,1,"Age-Young"
"cg10111599",0.278874041279872,1,"Age-Young"
"cg13442016",0.190605613009115,1,"Age-Young"
"cg06737494",0.0416656799450519,1,"Age-Young"
"cg06710464",0.104359454596576,1,"Age-Young"
"cg12757011",0.403970529846402,1,"Age-Young"
"cg24750513",0.30843306725821,1,"Age-Young"
"cg07040244",0.630365954410992,1,"Age-Young"
"cg25478614",0.504160796814572,1,"Age-Young"
"cg04453050",0.546048116156954,1,"Age-Young"
"cg13029847",0.78600284010706,1,"Age-Young"
"cg09432590",1.0729199062241,1,"Age-Young"
"cg17885226",1.75359334671152,1,"Age-Young"
"cg12080831",1.07288530740095,1,"Age-Young"
"cg16477091",0.0599172015328235,1,"Age-Young"
"cg09636302",0.223817582475934,1,"Age-Young"
"cg09990962",-0.424793319487473,1,"Age-Young"
"cg23249922",0.0280211616443499,1,"Age-Young"
"cg11668844",0.271969210027718,1,"Age-Young"
"cg24707573",0.0693532031497802,1,"Age-Young"
"cg23510764",-2.01128674707862,1,"Age-Young"
"cg11255208",0.0220757131798772,1,"Age-Young"
"cg00481951",0.362522126888641,1,"Age-Young"
"cg25427880",-0.6308347193132,1,"Age-Young"
"cg03619256",0.768812183586093,1,"Age-Young"
"cg24217948",-0.930007747762814,1,"Age-Young"
"cg04987734",-0.0971140044333938,1,"Age-Young"
"cg12497914",0.103335626033095,1,"Age-Young"
"cg17783401",0.432333215945904,1,"Age-Young"
"cg18780100",0.0447464855196681,1,"Age-Young"
"cg25953130",-0.239418297739562,1,"Age-Young"
"cg10184289",-0.784906679106841,1,"Age-Young"
"cg21778644",-0.799133515152685,1,"Age-Young"
"cg11832534",0.399608397062696,1,"Age-Young"
"cg25410668",1.98173234513932,1,"Age-Young"
"cg01606885",-0.440059714639337,1,"Age-Young"
"cg04027548",-0.72749277546537,1,"Age-Young"
"cg18450254",-1.35914000179836,1,"Age-Young"
"cg15962547",0.470413927023982,1,"Age-Young"
"cg23008153",-0.788825408815271,1,"Age-Young"
"cg06458239",1.15791454482702,1,"Age-Young"
"cg14343513",0.164547250392406,1,"Age-Young"
"cg20842915",0.0010768860022337,1,"Age-Young"
"cg05399785",0.270071293112592,1,"Age-Young"
"cg17230002",0.0325587875275224,1,"Age-Young"
"cg01528542",-1.49885149193395,1,"Age-Young"
"cg04761231",-0.0663752629343741,1,"Age-Young"
"cg03523676",0.0569421843024269,1,"Age-Young"
"cg22162281",0.0858858016777244,1,"Age-Young"
"cg05251190",-0.0222699047180317,1,"Age-Young"
"cg06303168",-0.218646160706708,1,"Age-Young"
"cg19855470",0.337587393368232,1,"Age-Young"
"cg16755922",-0.232108170255222,1,"Age-Young"
"cg19711579",0.130945771761634,1,"Age-Young"
"cg13876222",0.0029270656397061,1,"Age-Young"
"cg10383568",-0.0409861541803268,1,"Age-Young"
"cg22178392",-0.0588896472052277,1,"Age-Young"
"cg11766468",0.832014528160379,1,"Age-Young"
"cg18479961",0.535783660449387,1,"Age-Young"
"cg21025494",-0.158308636169234,1,"Age-Young"
"cg25374813",0.196196014014583,1,"Age-Young"
"cg16969368",0.609065080716377,1,"Age-Young"
"cg03231735",-0.159723438766754,1,"Age-Young"
"cg03541887",-0.406837652359751,1,"Age-Young"
"cg08952306",1.11517299864632,1,"Age-Young"
"cg14850784",0.739489265870802,1,"Age-Young"
"cg20665157",1.08960167722846,1,"Age-Young"
"cg10592521",0.974716638467088,1,"Age-Young"
"cg07675998",-0.973126168359144,1,"Age-Young"
"cg15843572",-0.227477302299296,1,"Age-Young"
"cg06672696",0.545127317406314,1,"Age-Young"
"cg07869232",-0.600542919140305,1,"Age-Young"
"cg01428071",0.413599346919331,1,"Age-Young"
"cg11705975",0.436557990411129,1,"Age-Young"
"cg00329615",-1.61041733017544,1,"Age-Young"
"cg06019726",0.166565892182271,1,"Age-Young"
"cg23829395",0.384841932632754,1,"Age-Young"
"cg05508862",0.500551875271658,1,"Age-Young"
"cg18625289",0.568268232546794,1,"Age-Young"
"cg01385679",0.289896779220155,1,"Age-Young"
"cg26445608",0.75787213138008,1,"Age-Young"
"cg10619342",-0.13299012707003,1,"Age-Young"
"cg05858126",0.413213707568418,1,"Age-Young"
"cg25778262",0.154017378943503,1,"Age-Young"
"cg25241559",1.03611542445459,1,"Age-Young"
"cg09285095",-0.465256984034776,1,"Age-Young"
"cg12638731",0.242074833039132,1,"Age-Young"
"cg08904363",0.795477232107998,1,"Age-Young"
"cg11002698",0.275633597752975,1,"Age-Young"
"cg02003183",-1.03974455169941,1,"Age-Young"
"cg02976843",-0.0482940676629662,1,"Age-Young"
"cg17285931",1.23794802465784,1,"Age-Young"
"cg22864500",0.150290464912465,1,"Age-Young"
"cg03467555",1.99939340815604,1,"Age-Young"
