"site","Mean beta"
"cg00001583",0.0739495106282108
"cg00001874",0.566761443125102
"cg00002033",0.802378454903921
"cg00002426",0.879174394287129
"cg00003625",0.857452718535531
"cg00006081",0.250677265088256
"cg00007076",0.448648479353812
"cg00008033",0.0928547264403837
"cg00008629",0.373488175754624
"cg00010654",0.343570104708417
"cg00010853",0.396306092397565
"cg00011861",0.237233140789093
"cg00013899",0.783727024229557
"cg00018850",0.843042296712383
"cg00019759",0.260881742109147
"cg00020474",0.280953774262366
"cg00021275",0.625231644238536
"cg00024494",0.111810201443928
"cg00033551",0.87676570697704
"cg00034076",0.111564342963307
"cg00034101",0.835819466361957
"cg00035316",0.117337308563117
"cg00035937",0.766686407587261
"cg00036871",0.63247715538845
"cg00043800",0.58349169579836
"cg00048759",0.382904362896283
"cg00049047",0.153111129072626
"cg00049156",0.895696596627001
"cg00054774",0.474036225108804
"cg00055679",0.191290050046929
"cg00055726",0.235693717183027
"cg00058879",0.161168380809964
"cg00059225",0.365391728786114
"cg00061031",0.755214853597964
"cg00062282",0.262832772593803
"cg00063006",0.669203753623431
"cg00065935",0.0948494878810752
"cg00066663",0.19745637651697
"cg00070052",0.519147702311096
"cg00071051",0.662773703624392
"cg00071265",0.299700428354124
"cg00073090",0.348426347161682
"cg00075967",0.77612527282208
"cg00079023",0.540870589748178
"cg00079056",0.869759670011688
"cg00082140",0.409050412041266
"cg00083937",0.612075788115374
"cg00084338",0.57848700796741
"cg00084577",0.497987401625939
"cg00088797",0.712305103236508
"cg00091693",0.729458442868662
"cg00094518",0.145402230398224
"cg00099441",0.121260996421103
"cg00099976",0.16899067120232
"cg00101715",0.210563210354568
"cg00101940",0.72574909261074
"cg00103778",0.248243572796265
"cg00105306",0.513530218344043
"cg00110545",0.366500760524592
"cg00113951",0.0633558352951672
"cg00114478",0.23752418214829
"cg00116092",0.132302538659246
"cg00116430",0.554643042725395
"cg00116699",0.447095967619508
"cg00118808",0.299882907406141
"cg00119687",0.774670102682781
